,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2008-06-13,951062.0,889814.0,854005.0,836354.0,831376.0,870856.0,927578.0,1012564.0,1074537.0,1129856.0,1226608.0,1297365.0,1376854.0,1419725.0,1426718.0,1447272.0,1431939.0,1397755.0,1372157.0,1347739.0,1312889.0,1273825.0,1190050.0,1074035.0
2008-06-14,985569.0,928010.0,886567.0,864601.0,847615.0,844197.0,861106.0,932791.0,1035937.0,1115267.0,1199986.0,1288426.0,1354255.0,1355173.0,1241286.0,1216761.0,1186228.0,1137249.0,1124568.0,1108555.0,1091769.0,1074263.0,997545.0,905086.0
2008-06-15,824603.0,781065.0,754804.0,740184.0,729636.0,731655.0,743973.0,803338.0,891603.0,989672.0,1048432.0,1096685.0,1126666.0,1137587.0,1141395.0,1170948.0,1198732.0,1216089.0,1228690.0,1215071.0,1173395.0,1155606.0,1054294.0,938759.0
2008-06-16,861518.0,803719.0,781750.0,763237.0,776635.0,817103.0,898192.0,990829.0,1061808.0,1125081.0,1169814.0,1157679.0,1134702.0,1177142.0,1194507.0,1136448.0,1126181.0,1153469.0,1161906.0,1143871.0,1111057.0,1087844.0,998006.0,915654.0
2008-06-17,845259.0,810326.0,779293.0,762958.0,770985.0,817359.0,879736.0,958408.0,1011661.0,1060637.0,1084490.0,1111733.0,1119673.0,1128678.0,1131966.0,1143994.0,1151287.0,1151567.0,1116973.0,1076869.0,1049896.0,1035698.0,943141.0,847354.0
2008-06-18,779693.0,748017.0,726811.0,722043.0,736973.0,792380.0,845999.0,910377.0,953075.0,978462.0,1007209.0,1025106.0,1036281.0,1063529.0,1072960.0,1106534.0,1115831.0,1119648.0,1096379.0,1063024.0,1052108.0,1025424.0,934685.0,840731.0
2008-06-19,769776.0,751655.0,730281.0,723466.0,732618.0,762514.0,824021.0,885331.0,929503.0,968748.0,988791.0,1018762.0,1026414.0,1035525.0,1025630.0,1032631.0,1032433.0,1047475.0,1053545.0,1046184.0,1035191.0,1033149.0,957244.0,864332.0
2008-06-20,807176.0,767158.0,749672.0,745705.0,761784.0,791072.0,824078.0,900952.0,952024.0,984208.0,967588.0,1006399.0,1024008.0,1064071.0,1073509.0,1069494.0,1077793.0,1107086.0,1127315.0,1087419.0,1075884.0,1063213.0,989465.0,902561.0
2008-06-21,822562.0,780332.0,744725.0,734377.0,727631.0,733882.0,751896.0,820555.0,904046.0,991598.0,1041430.0,1091982.0,1134913.0,1117393.0,1143969.0,1158267.0,1171748.0,1182238.0,1175752.0,1119746.0,1087416.0,1069245.0,996915.0,896329.0
2008-06-22,824365.0,765910.0,737749.0,710098.0,701714.0,701472.0,716183.0,781966.0,880434.0,971820.0,1036605.0,1083314.0,1138520.0,1179651.0,1222684.0,1229180.0,1209594.0,1161386.0,1119737.0,1073541.0,1044288.0,1036380.0,943742.0,851250.0
2008-06-23,789562.0,748198.0,727407.0,717639.0,737789.0,784542.0,851879.0,948418.0,1017246.0,1081144.0,1150383.0,1204363.0,1246163.0,1285911.0,1277964.0,1305796.0,1316461.0,1309229.0,1285235.0,1231579.0,1181267.0,1135224.0,1027019.0,920547.0
2008-06-24,829387.0,783983.0,743766.0,731648.0,740448.0,781178.0,833869.0,902920.0,962825.0,1019420.0,1078391.0,1109752.0,1135156.0,1125405.0,1168297.0,1185461.0,1210522.0,1220342.0,1246300.0,1218388.0,1170883.0,1146442.0,1039337.0,914788.0
2008-06-25,833452.0,784187.0,775032.0,777041.0,784954.0,820430.0,885062.0,962536.0,1026038.0,1062156.0,1110684.0,1165961.0,1203876.0,1233150.0,1267373.0,1300190.0,1328578.0,1341712.0,1362738.0,1337739.0,1285400.0,1252275.0,1134780.0,1018592.0
2008-06-26,937379.0,879633.0,843110.0,840854.0,842205.0,873936.0,930593.0,999822.0,1046721.0,1097687.0,1182014.0,1246010.0,1312144.0,1399290.0,1453232.0,1496572.0,1548741.0,1566668.0,1540825.0,1489264.0,1431283.0,1388305.0,1265912.0,1124155.0
2008-06-27,1029092.0,957722.0,922735.0,894950.0,882676.0,894998.0,957141.0,1058330.0,1144562.0,1246074.0,1346063.0,1390349.0,1362744.0,1373091.0,1423962.0,1429308.0,1424603.0,1421015.0,1404464.0,1357908.0,1318236.0,1298893.0,1201374.0,1085299.0
2008-06-28,978170.0,921967.0,882241.0,851132.0,839240.0,844395.0,861600.0,922078.0,1032757.0,1127324.0,1214633.0,1291945.0,1307656.0,1319939.0,1359357.0,1408970.0,1442645.0,1456998.0,1422009.0,1347752.0,1269248.0,1224832.0,1132774.0,1035161.0
2008-06-29,944007.0,887740.0,849779.0,818725.0,795909.0,800218.0,807580.0,868286.0,972520.0,1073074.0,1174270.0,1253435.0,1300116.0,1321064.0,1299149.0,1279420.0,1303225.0,1316845.0,1330352.0,1300670.0,1265985.0,1245297.0,1153732.0,1027260.0
